"unitid","institution name","year","C2024_A.First or Second Major","C2024_A.CIP Code -  2020 Classification","CipTitle","C2024_A.Award Level code","C2024_A.Grand total","IDX_C"
"105330","Northern Arizona University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","48","-2"
"105330","Northern Arizona University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","6","-2"
"105330","Northern Arizona University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","20","-2"
"105330","Northern Arizona University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"105330","Northern Arizona University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"106245","University of Arkansas at Little Rock","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","21","-2"
"106342","Lyon College","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"106342","Lyon College","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"106342","Lyon College","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"106342","Lyon College","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"106397","University of Arkansas","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","31","-2"
"106397","University of Arkansas","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","8","-2"
"106397","University of Arkansas","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","2","-2"
"106397","University of Arkansas","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","8","-2"
"106397","University of Arkansas","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
"106397","University of Arkansas","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","16","-2"
"106397","University of Arkansas","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"106458","Arkansas State University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"106467","Arkansas Tech University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"106485","University of Arkansas at Monticello","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"106704","University of Central Arkansas","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","15","-2"
"106704","University of Central Arkansas","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","3","-2"
"106704","University of Central Arkansas","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
"106704","University of Central Arkansas","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107044","Harding University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","8","-2"
"107044","Harding University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","0","-2"
"107044","Harding University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"107044","Harding University","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","0","-2"
"107044","Harding University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"107044","Harding University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"107071","Henderson State University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"107071","Henderson State University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"107080","Hendrix College","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"107080","Hendrix College","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"107080","Hendrix College","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"107080","Hendrix College","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"107141","John Brown University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"107141","John Brown University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"107141","John Brown University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107141","John Brown University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"107512","Ouachita Baptist University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107512","Ouachita Baptist University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"107512","Ouachita Baptist University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"107512","Ouachita Baptist University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"107558","University of the Ozarks","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"107558","University of the Ozarks","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"107983","Southern Arkansas University Main Campus","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"107983","Southern Arkansas University Main Campus","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"108092","University of Arkansas-Fort Smith","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"108092","University of Arkansas-Fort Smith","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"109785","Azusa Pacific University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"109785","Azusa Pacific University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110097","Biola University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110097","Biola University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","0","-2"
"110097","Biola University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110361","California Baptist University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"110361","California Baptist University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"110413","California Lutheran University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"110413","California Lutheran University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"110413","California Lutheran University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"110413","California Lutheran University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"110422","California Polytechnic State University-San Luis Obispo","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"110422","California Polytechnic State University-San Luis Obispo","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","8","-2"
"110422","California Polytechnic State University-San Luis Obispo","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"110422","California Polytechnic State University-San Luis Obispo","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110486","California State University-Bakersfield","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","29","-2"
"110486","California State University-Bakersfield","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","3","-2"
"110486","California State University-Bakersfield","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","29","-2"
"110486","California State University-Bakersfield","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
"110486","California State University-Bakersfield","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"110486","California State University-Bakersfield","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
