"unitid","institution name","year","C2017_A.First or Second Major","C2017_A.CIP Code -  2010 Classification","CipTitle","C2017_A.Award Level code","C2017_A_RV.Grand total","IDX_C"
"104179","University of Arizona","2017","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","5","-2"
"104179","University of Arizona","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","54","-2"
"104179","University of Arizona","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","21","-2"
"104717","Grand Canyon University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"104717","Grand Canyon University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"105330","Northern Arizona University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","43","-2"
"105330","Northern Arizona University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","5","-2"
"105330","Northern Arizona University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"105330","Northern Arizona University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","15","-2"
"105330","Northern Arizona University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"106245","University of Arkansas at Little Rock","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","42","-2"
"106342","Lyon College","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"106342","Lyon College","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"106342","Lyon College","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"106342","Lyon College","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"106397","University of Arkansas","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","37","-2"
"106397","University of Arkansas","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","17","-2"
"106397","University of Arkansas","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","4","-2"
"106397","University of Arkansas","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","22","-2"
"106397","University of Arkansas","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","11","-2"
"106397","University of Arkansas","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","19","-2"
"106397","University of Arkansas","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"106458","Arkansas State University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"106458","Arkansas State University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"106467","Arkansas Tech University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","8","-2"
"106485","University of Arkansas at Monticello","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"106485","University of Arkansas at Monticello","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"106704","University of Central Arkansas","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"106704","University of Central Arkansas","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","3","-2"
"106704","University of Central Arkansas","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
