"unitid","institution name","year","C2016_A.First or Second Major","C2016_A.CIP Code -  2010 Classification","CipTitle","C2016_A.Award Level code","C2016_A_RV.Grand total","IDX_C"
"100663","University of Alabama at Birmingham","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","13","-2"
"100706","University of Alabama in Huntsville","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","16","-2"
"100751","The University of Alabama","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","36","-2"
"100751","The University of Alabama","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","14","-2"
"100751","The University of Alabama","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","7","-2"
"100751","The University of Alabama","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","22","-2"
"100751","The University of Alabama","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","54","-2"
"100751","The University of Alabama","2016","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","34","-2"
"100830","Auburn University at Montgomery","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"100830","Auburn University at Montgomery","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"100858","Auburn University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","43","-2"
"100858","Auburn University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","5","-2"
"100858","Auburn University","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","27","-2"
"100858","Auburn University","2016","First major","'16.0905'","Spanish Language and Literature","Master's degree","5","-2"
"100858","Auburn University","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"100858","Auburn University","2016","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"101480","Jacksonville State University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"101480","Jacksonville State University","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"101709","University of Montevallo","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"101709","University of Montevallo","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"101879","University of North Alabama","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"101879","University of North Alabama","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"101879","University of North Alabama","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"101879","University of North Alabama","2016","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"101912","Oakwood University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"101912","Oakwood University","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"102049","Samford University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"102049","Samford University","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"102049","Samford University","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"102049","Samford University","2016","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","8","-2"
"102094","University of South Alabama","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","16","-2"
"102094","University of South Alabama","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"102234","Spring Hill College","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"102234","Spring Hill College","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"102368","Troy University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","22","-2"
"102368","Troy University","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"102368","Troy University","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"102368","Troy University","2016","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"102553","University of Alaska Anchorage","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","21","-2"
"102614","University of Alaska Fairbanks","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","21","-2"
"102614","University of Alaska Fairbanks","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","12","-2"
"104151","Arizona State University Campus Immersion","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","104","-2"
"104151","Arizona State University Campus Immersion","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","16","-2"
"104151","Arizona State University Campus Immersion","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","13","-2"
"104151","Arizona State University Campus Immersion","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","30","-2"
"104151","Arizona State University Campus Immersion","2016","First major","'16.0905'","Spanish Language and Literature","Master's degree","4","-2"
"104151","Arizona State University Campus Immersion","2016","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","6","-2"
"104151","Arizona State University Campus Immersion","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"104179","University of Arizona","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","206","-2"
"104179","University of Arizona","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","47","-2"
"104179","University of Arizona","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","7","-2"
"104179","University of Arizona","2016","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","79","-2"
"104179","University of Arizona","2016","First major","'16.0905'","Spanish Language and Literature","Master's degree","8","-2"
"104179","University of Arizona","2016","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","5","-2"
"104179","University of Arizona","2016","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","45","-2"
"104179","University of Arizona","2016","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","11","-2"
"105330","Northern Arizona University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","42","-2"
"105330","Northern Arizona University","2016","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","5","-2"
