"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A_RV.Grand total","IDX_C"
"174817","Saint Mary's University of Minnesota","2019","First major","'13'","Education","Doctor's degree - research/scholarship","16","-2"
"174844","St Olaf College","2019","First major","'13'","Education","Bachelor's degree","14","-2"
"174844","St Olaf College","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"174862","Crown College","2019","First major","'13'","Education","Bachelor's degree","27","-2"
"174899","The College of Saint Scholastica","2019","First major","'13'","Education","Bachelor's degree","44","-2"
"174899","The College of Saint Scholastica","2019","First major","'13'","Education","Master's degree","113","-2"
"174914","University of St Thomas","2019","First major","'13'","Education","Bachelor's degree","34","-2"
"174914","University of St Thomas","2019","First major","'13'","Education","Master's degree","255","-2"
"174914","University of St Thomas","2019","First major","'13'","Education","Doctor's degree - research/scholarship","27","-2"
"174914","University of St Thomas","2019","Second major","'13'","Education","Bachelor's degree","19","-2"
"175005","St Catherine University","2019","First major","'13'","Education","Bachelor's degree","18","-2"
"175005","St Catherine University","2019","First major","'13'","Education","Master's degree","79","-2"
"175014","Rasmussen University-Minnesota","2019","First major","'13'","Education","Bachelor's degree","0","-2"
"175078","Southwest Minnesota State University","2019","First major","'13'","Education","Bachelor's degree","76","-2"
"175078","Southwest Minnesota State University","2019","First major","'13'","Education","Master's degree","148","-2"
"175078","Southwest Minnesota State University","2019","Second major","'13'","Education","Bachelor's degree","11","-2"
"175272","Winona State University","2019","First major","'13'","Education","Bachelor's degree","244","-2"
"175272","Winona State University","2019","First major","'13'","Education","Master's degree","37","-2"
"175272","Winona State University","2019","Second major","'13'","Education","Bachelor's degree","29","-2"
"175342","Alcorn State University","2019","First major","'13'","Education","Bachelor's degree","5","-2"
"175342","Alcorn State University","2019","First major","'13'","Education","Master's degree","64","-2"
"175421","Belhaven University","2019","First major","'13'","Education","Bachelor's degree","5","-2"
"175421","Belhaven University","2019","First major","'13'","Education","Master's degree","162","-2"
"175421","Belhaven University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","0","-2"
"175430","Blue Mountain Christian University","2019","First major","'13'","Education","Bachelor's degree","32","-2"
"175430","Blue Mountain Christian University","2019","First major","'13'","Education","Master's degree","7","-2"
"175616","Delta State University","2019","First major","'13'","Education","Bachelor's degree","120","-2"
"175616","Delta State University","2019","First major","'13'","Education","Master's degree","156","-2"
"175616","Delta State University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","12","-2"
"175856","Jackson State University","2019","First major","'13'","Education","Bachelor's degree","160","-2"
"175856","Jackson State University","2019","First major","'13'","Education","Master's degree","151","-2"
"175856","Jackson State University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","49","-2"
"175980","Millsaps College","2019","First major","'13'","Education","Bachelor's degree","4","-2"
"176017","University of Mississippi","2019","First major","'13'","Education","Bachelor's degree","221","-2"
"176017","University of Mississippi","2019","First major","'13'","Education","Master's degree","217","-2"
"176017","University of Mississippi","2019","First major","'13'","Education","Doctor's degree - research/scholarship","57","-2"
"176035","Mississippi University for Women","2019","First major","'13'","Education","Bachelor's degree","16","-2"
"176035","Mississippi University for Women","2019","First major","'13'","Education","Master's degree","12","-2"
"176044","Mississippi Valley State University","2019","First major","'13'","Education","Bachelor's degree","22","-2"
"176044","Mississippi Valley State University","2019","First major","'13'","Education","Master's degree","12","-2"
"176053","Mississippi College","2019","First major","'13'","Education","Bachelor's degree","60","-2"
"176053","Mississippi College","2019","First major","'13'","Education","Master's degree","218","-2"
"176053","Mississippi College","2019","First major","'13'","Education","Doctor's degree - research/scholarship","11","-2"
"176080","Mississippi State University","2019","First major","'13'","Education","Bachelor's degree","280","-2"
"176080","Mississippi State University","2019","First major","'13'","Education","Master's degree","144","-2"
"176080","Mississippi State University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","23","-2"
"176318","Rust College","2019","First major","'13'","Education","Bachelor's degree","13","-2"
"176372","University of Southern Mississippi","2019","First major","'13'","Education","Bachelor's degree","183","-2"
"176372","University of Southern Mississippi","2019","First major","'13'","Education","Master's degree","128","-2"
"176372","University of Southern Mississippi","2019","First major","'13'","Education","Doctor's degree - research/scholarship","40","-2"
"176372","University of Southern Mississippi","2019","First major","'13.1306'","Foreign Language Teacher Education","Master's degree","14","-2"
"176372","University of Southern Mississippi","2019","Second major","'13'","Education","Master's degree","3","-2"
"176372","University of Southern Mississippi","2019","Second major","'13.1306'","Foreign Language Teacher Education","Master's degree","3","-2"
"176406","Tougaloo College","2019","First major","'13'","Education","Bachelor's degree","1","-2"
"176479","William Carey University","2019","First major","'13'","Education","Bachelor's degree","91","-2"
"176479","William Carey University","2019","First major","'13'","Education","Master's degree","390","-2"
"176479","William Carey University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","49","-2"
"176628","Avila University","2019","First major","'13'","Education","Bachelor's degree","8","-2"
"176628","Avila University","2019","First major","'13'","Education","Master's degree","23","-2"
"176664","Mission University","2019","First major","'13'","Education","Bachelor's degree","11","-2"
"176789","Calvary University","2019","First major","'13'","Education","Bachelor's degree","4","-2"
"176789","Calvary University","2019","First major","'13'","Education","Master's degree","1","-2"
"176910","Central Christian College of the Bible","2019","First major","'13'","Education","Bachelor's degree","1","-2"
"176910","Central Christian College of the Bible","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2019","First major","'13'","Education","Bachelor's degree","32","-2"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"176965","University of Central Missouri","2019","First major","'13'","Education","Bachelor's degree","304","-2"
"176965","University of Central Missouri","2019","First major","'13'","Education","Master's degree","221","-2"
"177065","Columbia College","2019","First major","'13'","Education","Master's degree","72","-2"
"177117","Cottey College","2019","First major","'13'","Education","Bachelor's degree","0","-2"
"177144","Culver-Stockton College","2019","First major","'13'","Education","Bachelor's degree","25","-2"
"177214","Drury University","2019","First major","'13'","Education","Bachelor's degree","11","-2"
"177214","Drury University","2019","First major","'13'","Education","Master's degree","34","-2"
